dt_refer;valor_mercado;lpa;lpa_acum;p/l;l/p;ebitda;ebitda_acum;divida_bruta;caixa_total;divida_liquida;dl_ebitda;dl_pl;ev_ebitda;vpa;p/vp;margem_liquida;roe;roic;proventos;payout;buyback_nao_acum;fco_nao_acum;fci_nao_acum;fcf_nao_acum;fco_acum;fci_acum;fcf_acum;capex;capex_acum;free_cash_flow;net_capex;rd;adjusted_net_capex;working_capital;change_in_non_cash_wc;change_in_non_cash_wc_acum;reinvestment_rate;effective_tax_rate;fcfe;fcff
2021-03-31;3236895631.4800224;-0.37452857527734895;-2.26;-8.153275683917832;-12.265009043818786;448723.0;1265394.0;2765772.0;3262851.0;-497079.0;-0.39282547570163917;-0.09316926652577914;2.1651885748470616;30.371385852901476;0.6067027410240473;-10.039460794037849;-6.3287677651832865;6.600446833889705;0.0;-0.0;-0.0;723130.0;-376098.0;1940661.0;1977321.0;-1205222.0;1418413.0;43295.0;210031.0;1767290.0;-477765.0;0.0;-477765.0;1743228.0;-223068.0;-512021.0;-1.8510983688110387;0.0;597198.0;1567384.0
2021-06-30;17091216778.5435;0.479206670693661;-1.36;-14.307901438544777;-6.989145153782298;657594.0;1740421.0;3856972.0;4516715.0;-659743.0;-0.37907092594263114;-0.12168435435228839;9.441091424743496;6.172795855757519;3.1523391362880155;41.15044723646094;2.6690425262511766;8.332617538458123;0.0;0.0;0.0;81651.0;-1169536.0;1399394.0;1822220.0;-1681310.0;2554830.0;193408.0;403439.0;1418781.0;-388876.0;0.0;-388876.0;4612121.0;97188.0;-93700.0;-0.6241597804338295;0.25085210940461805;1157792.0;1324967.904054706
2021-09-30;21940596887.91132;0.11055515191431083;-0.55;-45.4179590398615;-2.201772208923656;639832.0;2058439.0;4025028.0;4526210.0;-501182.0;-0.24347673163984943;-0.08812889929874167;10.415375382953451;6.474690069662759;3.8580808043565447;10.335523465780822;6.007030167472024;10.396781366621815;0.0;0.0;0.0;709527.0;-1856998.0;-378847.0;1977065.0;-3545870.0;2750599.0;216370.0;505447.0;1471618.0;-275048.0;0.0;-275048.0;4238508.0;57817.0;-80144.0;-0.3517692848583285;0.42000107513394375;1492609.0;1451809.7758345727
2022-03-31;20982109364.69348;1.2110965593542877;1.43;16.623649063643878;6.0155264116289136;1134968.0;2881117.0;4810322.0;5443615.0;-633293.0;-0.21980815079706933;-0.09419873370989444;7.062821941869588;7.616805681473448;3.1209694923465814;69.86754858676008;22.626747262286504;17.797106596326383;0.0;0.0;-0.0;969766.0;549472.0;992899.0;2484074.0;-2853160.0;3954107.0;136629.0;589702.0;1894372.0;-170781.0;0.0;-170781.0;5900461.0;177655.0;235472.0;0.03151679733097923;0.0;3370304.0;2055943.0
2022-06-30;19378268990.35058;0.7240498696428695;2.52;8.712197106982034;11.478160878598477;1230705.0;3663099.0;6646011.0;6559373.0;86638.0;0.02365155842088898;0.010602294989724812;5.313781306579641;9.258098303999738;2.3714088993967275;34.10272760987948;27.241282549974443;17.461015041668585;0.0;0.0;0.0;701408.0;-1482352.0;1111229.0;2462352.0;-3959414.0;3124675.0;313908.0;860315.0;1602037.0;23720.0;0.0;23720.0;7002358.0;346447.0;627332.0;0.25163277689955976;0.23071459954619047;4123694.0;1939513.3297762852
2022-09-30;24260288961.375534;0.8976573330666278;2.94;9.348929658228037;10.696411638094798;1542693.0;4548198.0;9178176.0;9291585.0;-113409.0;-0.024934930273484136;-0.01227646350298947;5.309109225538451;10.466163071635988;2.6261632851564256;39.899264069743666;28.1174519678183;16.997852476558958;0.0;0.0;0.0;1846814.0;632169.0;1935399.0;4227515.0;-2157709.0;3660680.0;603136.0;1270043.0;2957472.0;404521.0;0.0;404521.0;9699921.0;505318.0;465947.0;0.2780744973151487;0.3643149758423099;3440835.0;2346762.1013836716
2023-03-31;27628301558.0159;1.3097687377937326;4.14;7.521735297309029;13.294804462977572;1822786.0;5731152.0;10517905.0;527180.0;9990725.0;1.7432315527489064;0.9399527611578361;6.563955476667849;11.979954711744835;2.599340722075564;41.28183221401408;34.45706143542668;19.838798838787962;0.0;0.0;49933.0;-90108.0;-10018922.0;1280916.0;3427880.0;-10319633.0;5320443.0;669882.0;1723555.0;1704325.0;763194.0;0.0;763194.0;706546.0;1993975.0;2499293.0;0.7776556300704243;0.07445962058152862;3897844.0;1395137.0668765074
2023-06-30;32845700644.07602;0.9478599782745866;3.88;9.541375858267559;10.480668772035687;1723595.0;6319779.0;10249844.0;1155253.0;9094591.0;1.4390678851269958;0.8457025961215143;6.63635415796597;12.120755992251008;3.0543093478448;36.38658778144397;31.93661678455271;20.295764581265843;0.0;0.0;376468.0;2418055.0;-1382271.0;-457630.0;4876169.0;-12251376.0;3869914.0;1434405.0;3021331.0;1854838.0;1702819.0;0.0;1702819.0;-403389.0;1124977.0;1452640.0;0.7402197300033686;0.0;2579348.0;1845808.0
2023-09-30;41668334574.537506;1.8358549259879082;4.99;9.411737292945265;10.625030946726145;3078544.0;8167618.0;10521714.0;2225259.0;8296455.0;1.0157741216594605;0.6430810107414063;6.117424881346986;14.540892895169955;3.22982704228549;40.26271230431913;34.2929721363381;22.08449470085111;0.0;0.0;-1.0;2611520.0;-1132767.0;-638743.0;6786281.0;-11901791.0;2119942.0;1106518.0;3813941.0;2972340.0;1857271.0;0.0;1857271.0;1228843.0;1765227.0;1924098.0;0.7310085367511011;0.23176905114405202;1364796.0;1912195.3846739056
2024-03-31;43479002680.45298;1.1720658670452069;5.27;9.248577168589525;10.81247398136277;2360895.0;8985820.0;11094754.0;4030098.0;7064656.0;0.7862004803123143;0.45884728571957445;5.624824298778852;17.25952417901105;2.8239481675710683;32.67163221137771;30.379643984716036;21.114608865315855;0.0;0.0;80943.0;1614537.0;-1491428.0;1183497.0;6554004.0;-14025388.0;1368040.0;1184015.0;4394820.0;2159184.0;2066112.0;0.0;2066112.0;3155788.0;362094.0;2127321.0;0.7496933511229311;0.31442609127276855;399574.0;1921685.138612017
