dt_refer;valor_mercado;lpa;lpa_acum;p/l;l/p;ebitda;ebitda_acum;divida_bruta;caixa_total;divida_liquida;dl_ebitda;dl_pl;ev_ebitda;vpa;p/vp;margem_liquida;roe;roic;proventos;payout;buyback_nao_acum;fco_nao_acum;fci_nao_acum;fcf_nao_acum;fco_acum;fci_acum;fcf_acum;capex;capex_acum;free_cash_flow;net_capex;rd;adjusted_net_capex;working_capital;change_in_non_cash_wc;change_in_non_cash_wc_acum;reinvestment_rate;effective_tax_rate;fcfe;fcff
2021-03-31;1035229595.5982208;0.059441071632025264;-0.03;-140.41428565979004;-0.7121782483179107;37299.0;75657.0;293892.0;146840.0;147052.0;1.9436668120596905;0.12857758662146765;15.626863285594471;4.653733784729569;0.9051717963790847;4.68183887702558;-0.7368300481864293;-0.15804392814287951;0.0;0.0;0.0;-20241.0;-45120.0;-23193.0;2500.0;-207803.0;234425.0;47160.0;105362.0;-102862.0;31156.0;0.0;31156.0;770680.0;67964.0;133786.0;-72.59771126760563;0.0588462777956816;60448.0;-164739.6003222688
2021-06-30;1383623651.5922546;0.3723205130291834;0.3;18.76690228780111;5.328529901549184;102758.0;151229.0;377133.0;165295.0;211838.0;1.4007763061317604;0.1718876909757299;10.549971576828879;5.01481550806491;1.1226875001255696;22.909927593562536;6.0177488049943975;4.195199415490254;0.0;0.0;0.0;-13810.0;-55414.0;84338.0;-77800.0;-240972.0;301351.0;18568.0;105702.0;-183502.0;35081.0;0.0;35081.0;782021.0;109282.0;194634.0;3.401975593862923;0.1026282239874473;145257.0;-157760.61184662156
2021-09-30;1508761810.1177216;0.5148277152948453;1.12;5.481488789830888;18.243218919925063;138920.0;345262.0;370279.0;150108.0;220171.0;0.637692534944477;0.17270386171830815;5.007596579170953;5.187450153811097;1.1834846143244808;23.608578898358378;21.65201000590659;15.607375969986492;0.0;0.0;0.0;26956.0;-27400.0;-12001.0;-58363.0;-102566.0;79135.0;24344.0;115669.0;-174032.0;45129.0;0.0;45129.0;754811.0;169920.0;294726.0;1.323623914846881;0.03711878467756052;14833.0;-69600.02302323637
2022-03-31;1471298279.2606354;0.21964468822734745;1.17;5.1169448428683815;19.542911458069085;83581.0;362558.0;358670.0;210598.0;148072.0;0.40840913729665324;0.10534456177695314;4.466513714386761;5.719481925161542;1.046742614889357;11.299005756148613;20.389912613643883;15.489832321298309;0.0;0.0;0.0;143557.0;-38800.0;-9686.0;136462.0;-166734.0;39458.0;39265.0;129337.0;7125.0;57019.0;0.0;57019.0;824691.0;-70913.0;99007.0;0.5709340534685783;0.01285567990637115;169732.0;133386.63415258576
2022-06-30;1506680593.9922333;0.4221382183954817;1.53;4.007058050118241;24.95596488726915;133356.0;458615.0;300274.0;105653.0;194621.0;0.42436684364881216;0.1287496096912989;3.7096510013676687;6.150913914614495;0.9967297383424935;15.797310629590383;24.857768863156444;20.14567045164794;0.0;0.0;0.0;-19029.0;-31665.0;-54411.0;137674.0;-153279.0;8240.0;31764.0;113941.0;23733.0;38065.0;0.0;38065.0;937723.0;64006.0;165962.0;0.5589489862171558;0.01588686654083636;179758.0;176905.3931975757
2022-09-30;2171566217.4224854;0.3983219127915493;1.55;5.7008189539755545;17.541339377259728;132247.0;488104.0;360989.0;211959.0;149030.0;0.3053242751544753;0.09250063930523039;4.754306904722119;6.5557870408047005;1.347857903812795;14.752951991982338;23.718968868938703;20.059195390933482;0.0;0.0;0.0;92056.0;-40149.0;54716.0;243540.0;-138014.0;-21382.0;43393.0;138766.0;104774.0;60579.0;0.0;60579.0;1003080.0;117829.0;178467.0;0.6042771556409414;0.06737612301477663;121610.0;163358.69703609846
2023-03-31;1829256701.745987;0.3401161372175865;1.38;5.390248436858689;18.552020592631102;116951.0;466135.0;473894.0;374190.0;99704.0;0.21389511622169544;0.055577852696170243;4.138201812234625;7.2949787732396425;1.019679847479747;14.64320858386533;18.911319812347266;16.134296596858867;0.0;0.0;889.0;159817.0;-29721.0;46395.0;376401.0;-140335.0;37014.0;29881.0;144303.0;232098.0;60966.0;0.0;60966.0;1147252.0;-39640.0;78189.0;0.3803077881722105;0.08176597823819405;236375.0;236020.36667874438
2023-06-30;2661719824.573517;0.5650344019909237;1.73;6.256471203930805;15.98345085280216;169467.0;552021.0;383697.0;282890.0;100807.0;0.1826144295235145;0.05322003743093886;5.0043871964536075;7.702447177084858;1.4052280962083445;19.194247983202565;22.39679434893132;19.230046552629407;36784.0;26.472641434750376;1509.0;95637.0;-40866.0;-147444.0;328481.0;-142401.0;-100744.0;39197.0;144235.0;184246.0;55557.0;0.0;55557.0;1364977.0;26383.0;215125.0;0.617950286737042;0.06157306102601508;111082.0;183738.87873814732
2023-09-30;3065511365.5929565;0.5189292278664259;1.82;6.84927741249839;14.600080267959727;177098.0;595763.0;373946.0;363388.0;10558.0;0.01772181219713208;0.005317131810781016;5.1632433796542525;8.074533580572227;1.5438272398470414;17.44672879817106;22.565276883167638;19.344821989122746;36773.0;28.819643095057096;1501.0;153815.0;-27701.0;-43912.0;501325.0;-138437.0;-90245.0;29147.0;141618.0;359707.0;47417.0;0.0;47417.0;1516102.0;38479.0;92302.0;0.3060918676513437;0.14400048302048812;314651.0;339964.14261179906
2024-03-31;3471661625.793457;0.3231970173598975;1.75;7.222877502441406;13.844897683256981;122432.0;585948.0;415561.0;564374.0;-148813.0;-0.25396963553079793;-0.07429461231385534;5.670893365611722;7.2928026331119655;1.7332205826991836;14.861360162205514;21.91399751973528;18.193248663571453;0.0;0.0;-0.0;214913.0;-276403.0;12206.0;624182.0;-374691.0;-132755.0;29678.0;127903.0;496279.0;29132.0;0.0;29132.0;1417859.0;-55147.0;-16668.0;0.02832617830674724;0.09327531079852493;348904.0;465654.75474242284
